Loading data (training:iris-training.txt, test: iris-test.txt)
Enter the k value: 11
Current K value is: 11
Test object 1 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 2 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 3 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 4 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 5 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 6 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 7 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 8 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 9 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 10 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 11 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 12 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 13 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 14 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 15 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 16 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 17 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 18 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 19 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 20 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 21 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 22 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 23 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 24 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 25 is classified as: Iris-setosa, actual result is: Iris-setosa
Test object 26 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 27 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 28 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 29 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 30 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 31 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 32 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 33 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 34 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 35 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 36 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 37 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 38 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 39 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 40 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 41 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 42 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 43 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 44 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 45 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 46 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 47 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 48 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 49 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 50 is classified as: Iris-versicolor, actual result is: Iris-versicolor
Test object 51 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 52 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 53 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 54 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 55 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 56 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 57 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 58 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 59 is classified as: Iris-versicolor, actual result is: Iris-virginica
Test object 60 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 61 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 62 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 63 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 64 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 65 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 66 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 67 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 68 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 69 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 70 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 71 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 72 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 73 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 74 is classified as: Iris-virginica, actual result is: Iris-virginica
Test object 75 is classified as: Iris-virginica, actual result is: Iris-virginica
Correct Count: 74/75, Accuracy: 98.66666666666667%
